"application_type";"IND_num";"studyID"
"IND";"IND129563";"1217005"
"IND";"IND129563";"69029"
"IND";"IND129592";"20211143"
"IND";"IND129592";"20268272"
"IND";"IND129592";"20277685"
"IND";"IND129592";"20281933"
"IND";"IND129619";"1017-0902"
"IND";"IND129622";"8399210"
"IND";"IND129715";"8357393"
"IND";"IND129731";"2366-13618"
"IND";"IND129731";"2366-13619"
"IND";"IND129731";"3100-001"
"IND";"IND129731";"3100-002"
"IND";"IND129759";"AB21780"
"IND";"IND129759";"AB21781"
"IND";"IND129789";"8378172"
"IND";"IND129789";"8378173"
"IND";"IND129789";"8378174"
"IND";"IND129794";"20172817"
"IND";"IND129794";"20205879"
"IND";"IND129797";"20142365"
"IND";"IND129797";"20142367"
"IND";"IND129797";"20142368"
"IND";"IND129819";"75794"
"IND";"IND129845";"2281-013"
"IND";"IND129845";"2281-014"
"IND";"IND129883";"20229210"
"IND";"IND129883";"TOX14067"
"IND";"IND129916";"8001389"
"IND";"IND129916";"8001702"
"IND";"IND129963";"15901"
"IND";"IND129963";"15902"
"IND";"IND129963";"SBL019-112"
"IND";"IND129963";"SBL019-115"
"IND";"IND129980";"GH37HJ"
"IND";"IND129983";"2695-001"
"IND";"IND129994";"47874TCR"
"IND";"IND129994";"47875TCC"
"IND";"IND130141";"21-1235"
"IND";"IND130141";"21-1248"
"IND";"IND130236";"12278"
"IND";"IND130236";"12279"
"IND";"IND130236";"386-0052-TX"
"IND";"IND130236";"386-0053-TX"
"IND";"IND130236";"386-0068-TX"
"IND";"IND130236";"700049"
"IND";"IND130236";"700111"
"IND";"IND130277";"8375967"
"IND";"IND130277";"8375969"
"IND";"IND130277";"8375970"
"IND";"IND130291";"2070063"
"IND";"IND130296";"20255213"
"IND";"IND130348";"VPT7385"
"IND";"IND130381";"20143250"
"IND";"IND130391";"8363807"
"IND";"IND130391";"8367515"
"IND";"IND130391";"8398353"
"IND";"IND130391";"8407104"
"IND";"IND130391";"8418603"
"IND";"IND130436";"20178864"
"IND";"IND130436";"20185896"
"IND";"IND130436";"8002090"
"IND";"IND130436";"8002091"
"IND";"IND130436";"8003274"
"IND";"IND130436";"DN19122"
"IND";"IND130463";"0406LK19_005"
"IND";"IND130518";"1841-011"
"IND";"IND130518";"1841-012"
"IND";"IND130549";"OWL0013"
"IND";"IND130549";"OWL0018"
"IND";"IND130549";"OWL0019"
"IND";"IND130549";"OWL0021"
"IND";"IND130594";"337627"
"IND";"IND130594";"337628"
"IND";"IND130595";"SNBL.223.70"
"IND";"IND130687";"LMC0014"
"IND";"IND130687";"LMC0017"
"IND";"IND130687";"LMC0024"
"IND";"IND130687";"LMC0029"
"IND";"IND130687";"LMC0030"
"IND";"IND130687";"LMC0043"
"IND";"IND130687";"PJ04HS"
"IND";"IND130687";"SR-TOX-005-13"
"IND";"IND130687";"YP09CC"
"IND";"IND130736";"74705"
"IND";"IND130744";"5003140"
"IND";"IND130744";"5003141"
"IND";"IND130744";"AB22290"
"IND";"IND130744";"AB22301"
"IND";"IND130767";"2572-006"
"IND";"IND130767";"2572-007"
"IND";"IND130817";"0436DO30_002"
"IND";"IND130839";"2352-495G"
"IND";"IND130871";"0460RR44_001"
"IND";"IND130871";"0472DR44_001"
"IND";"IND130880";"20192751"
"IND";"IND130880";"20192753"
"IND";"IND130880";"2034-T03-065"
"IND";"IND130880";"2034-T04-065"
"IND";"IND130880";"2034-T05-065"
"IND";"IND130880";"2034-T08-065"
"IND";"IND130880";"235-051"
"IND";"IND130881";"5701094"
"IND";"IND130881";"5701095"
"IND";"IND130881";"6901597"
"IND";"IND130952";"SNBL.292.06"
"IND";"IND130961";"5500240"
"IND";"IND130968";"20235314"
"IND";"IND131060";"MD-1-1-539-2379"
"IND";"IND131060";"POP_547_HIS"
"IND";"IND131060";"S15779"
"IND";"IND131060";"S15983"
"IND";"IND131066";"8412668"
"IND";"IND131111";"2727-004-001"
"IND";"IND131111";"2727-005-001"
"IND";"IND131218";"8403647"
"IND";"IND131218";"8403702"
"IND";"IND131218";"8413878"
"IND";"IND131218";"8413879"
"IND";"IND131271";"2395-056"
"IND";"IND131271";"591-082"
"IND";"IND131271";"591-083"
"IND";"IND131330";"2726-002"
"IND";"IND131330";"2726-008"
"IND";"IND131330";"8367096"
"IND";"IND131347";"0645-17223"
"IND";"IND131353";"553-0001-TX"
"IND";"IND131359";"503594"
"IND";"IND131363";"8001670"
"IND";"IND131363";"8001671"
"IND";"IND131363";"DN20061"
"IND";"IND131363";"DN20094"
"IND";"IND131383";"20132.001"
"IND";"IND131396";"8382034"
"IND";"IND131410";"1570139"
"IND";"IND131410";"1570140"
"IND";"IND131414";"A10-0033-TX"
"IND";"IND131414";"A10-0058-TX"
"IND";"IND131423";"8354165"
"IND";"IND131423";"8384871"
"IND";"IND131423";"8426013"
"IND";"IND131423";"CTP-543 SP-031"
"IND";"IND131423";"CTP-543 TX-116"
"IND";"IND131423";"CTP-543 TX-119"
"IND";"IND131606";"20127710"
"IND";"IND131638";"63064"
"IND";"IND131638";"63065"
"IND";"IND131638";"700255"
"IND";"IND131638";"700256"
"IND";"IND131761";"2618-003"
"IND";"IND131761";"2618-004"
"IND";"IND131763";"1183-249"
"IND";"IND131763";"1183-261"
"IND";"IND131764";"2457-005"
"IND";"IND131764";"2457-006"
"IND";"IND131787";"8002732"
"IND";"IND131787";"8385433"
"IND";"IND131789";"tt191001"
"IND";"IND131825";"124768"
"IND";"IND131825";"124770"
"IND";"IND131825";"20287901"
"IND";"IND131885";"BN27KX"
"IND";"IND131885";"BT08YQ"
"IND";"IND131885";"BT92BD"
"IND";"IND131885";"DX12MW"
"IND";"IND131885";"GX40YJ"
